Time,Angle,PWM_Voltage
8.418,-42.796522293732,8.624921353557e-19
8.442,-42.425703885803,-2.02650559116294e-20
8.466,-42.0495679745004,-7.45541124005947e-19
8.49,-41.6784064681176,-1.38149543823367e-18
8.514,-41.3178278924072,-1.87267718383005e-18
8.537,-40.9699667628468,-1.93275555738614e-18
8.561,-40.6347311528862,-9.83142142771202e-19
8.585,-40.3110649488996,1.80658362158664e-18
8.609,-39.9980966278156,7.27796840351913e-18
8.633,-39.6960280384218,1.57174678720483e-17
8.657,-39.4063314701389,2.58662300349743e-17
8.681,-39.1310146454608,3.35426778789645e-17
8.705,-38.8715083392769,3.02213712920416e-17
8.729,-38.6279788119689,2.43094769323306e-18
8.753,-38.3993473286934,-6.64721853460142e-17
8.777,-38.1838975391212,-1.89934947344254e-16
8.801,-37.980155474556,-3.64869761372359e-16
8.824,-37.787484649055,-5.50152411821364e-16
8.848,-37.6059974906572,-6.39396225567409e-16
8.872,-37.4358480524202,-4.37656245799422e-16
8.896,-37.2763343418992,3.37119526121136e-16
8.92,-37.125424418983,1.99363848297113e-15
8.944,-36.9800151540223,4.70339823629049e-15
8.968,-36.8367631655958,8.1934129562409e-15
8.992,-36.6932454654929,1.12923812242634e-14
9.016,-36.5494080229891,1.14184601978258e-14
9.11,-36.4084775175788,4.26039087473103e-15
9.134,-36.2754686986905,-1.58645618517331e-14
9.158,-36.1541505917693,-5.42470665076227e-14
9.182,-36.0458669403212,-1.11769861589652e-13
9.206,-35.9503335899367,-1.78060614103147e-13
9.23,-35.8662426641844,-2.22261611930982e-13
9.254,-35.7915050281024,-1.84059546154786e-13
9.278,-35.7237922541913,2.87914083277931e-14
9.302,-35.6611035186513,5.25597685460324e-13
9.326,-35.6020346777391,1.38554816883222e-12
9.35,-35.545935374305,2.5631123080054e-12
9.374,-35.4929454604366,3.7403906190261e-12
9.398,-35.4436254046539,4.14746757115426e-12
9.421,-35.398276792323,2.42267460768584e-12
9.445,-35.3565533126328,-3.33912886221343e-12
9.469,-35.3178063032812,-1.51143644342437e-11
9.493,-35.2817876166339,-3.37602738426471e-11
9.517,-35.2489244979978,-5.68625955823944e-11
9.541,-35.2199104319636,-7.56599886625527e-11
9.565,-35.1950025738053,-7.17422035618973e-11
9.589,-35.1736157570465,-1.53583495005444e-11
9.613,-35.1545011400584,1.31268652499148e-10
9.637,-35.1362111439913,4.00666714141975e-10
9.661,-35.1175008411877,7.91386446390974e-10
9.685,-35.0977424039798,1.22061679601307e-09
9.708,-35.0773702861372,1.46257852515389e-09
9.732,-35.0579325819428,1.09273303144113e-09
9.756,-35.041402865553,-5.17454333317747e-10
9.78,-35.029069258285,-4.07986125331244e-09
9.804,-35.0207647145304,-1.00429541731579e-08
9.828,-35.0150397934299,-1.79239605385072e-08
9.852,-35.0101488458899,-2.52997645813785e-08
9.876,-35.0048939606031,-2.66306553742954e-08
9.9,-34.9986342060953,-1.24480023938842e-08
9.924,-34.9908690322119,3.00455022454291e-08
9.948,-34.9809975382016,1.13346038060942e-07
9.972,-34.968374137537,2.41052383898928e-07
